id,name
SP01,Lake sturgeon
SP04,Longnose sucker
SP05,White sucker
SP08,Cisco
SP09,Lake whitefish
SP10,Mottled sculpin
SP11,Slimy sculpin
SP12,Lake chub
SP13,Brook stickleback
SP14,Northern pike
SP16,Iowa darter
SP17,Johnny darter
SP18,Goldeye
SP22,Burbot
SP24,Pearl dace
SP26,Shorthead redhorse
SP27,Emerald shiner
SP30,Blacknose shiner
SP31,Spottail shiner
SP32,Mimic shiner
SP34,Logperch
SP35,Yellow perch
SP36,Trout-perch
SP38,Fathead minnow
SP40,Ninespine stickleback
SP41,Longnose dace
SP42,Brook trout
SP43,Lake trout
SP45,Sauger
SP46,Walleye
